site_id,survey_date,pit_tag_id,capture_life_stage,capture_animal_state
72808,2016-07-08,982000365440353,adult,healthy
72808,2016-07-08,982000365440356,adult,healthy
72336,2016-07-08,982000365440358,adult,healthy
72808,2016-07-08,982000365440360,adult,healthy
72808,2016-07-08,98800806,adult,healthy
72808,2016-07-08,98869533,adult,healthy
72808,2016-07-08,99069319,adult,healthy
72808,2016-07-08,990822322,adult,healthy
72808,2016-07-08,80066785,adult,healthy
72808,2016-07-08,80058373,adult,healthy
72336,2016-07-08,900067000114507,adult,healthy
72808,2016-07-08,80057071,adult,healthy
72808,2016-07-08,80581000,adult,healthy
72808,2016-08-13,900043000108316,adult,healthy
72808,2016-08-13,900043000108318,adult,healthy
72336,2016-08-13,900043000104414,adult,healthy
72336,2016-08-13,900043000104463,adult,healthy
72336,2016-08-13,900043000108103,adult,healthy
72808,2016-08-13,900043000108107,adult,healthy
72808,2016-08-13,900043000108116,adult,healthy
72808,2016-08-13,900043000108119,adult,healthy
72336,2016-08-13,900043000108136,adult,healthy
72808,2016-08-13,900043000108176,adult,healthy
72808,2016-08-13,900043000108221,adult,healthy
72808,2016-08-13,900043000108244,adult,healthy
72808,2016-08-13,900043000108265,adult,healthy
72808,2016-08-13,900043000108281,adult,healthy
72808,2016-08-13,900043000108301,adult,healthy
72808,2016-08-13,900043000108306,adult,healthy
72336,2016-08-13,900043000108309,adult,healthy
72808,2016-08-13,900043000108312,adult,healthy
72808,2016-08-13,900043000108319,adult,healthy
72808,2016-08-13,900043000108320,adult,healthy
72808,2016-08-13,900043000108324,adult,healthy
72808,2016-08-13,900043000108325,adult,healthy
72808,2016-08-13,900043000108328,adult,healthy
72808,2016-08-13,900043000108331,adult,healthy
72336,2016-08-13,900043000108341,adult,healthy
72336,2016-08-13,900043000108355,adult,healthy
72808,2016-08-13,900043000108363,adult,healthy
72808,2016-08-13,900043000108366,adult,healthy
72808,2016-08-13,900043000108374,adult,healthy
72336,2016-08-13,900043000108382,adult,healthy
72808,2016-08-13,900043000108383,adult,healthy
72808,2016-08-13,900043000108400,adult,healthy
72808,2016-08-13,900067000063909,adult,healthy
72808,2016-08-13,900067000063992,adult,healthy
72808,2016-08-13,900067000078000,adult,healthy
72336,2016-08-13,900067000078103,adult,healthy
72336,2016-08-13,900067000078144,adult,healthy
72336,2016-08-13,900067000078189,adult,healthy
72336,2016-08-13,900067000078199,adult,healthy
72808,2016-08-13,900067000078231,adult,healthy
72336,2016-08-13,900067000078259,adult,healthy
72336,2016-08-13,900067000078272,adult,healthy
72808,2016-08-13,900067000078381,adult,healthy
72336,2016-08-13,900067000078386,adult,healthy
72808,2016-08-13,900067000114009,adult,healthy
72808,2016-08-13,900067000114118,adult,healthy
72808,2016-08-13,900067000114183,adult,healthy
72808,2016-08-13,900067000114191,adult,healthy
72808,2016-08-13,900067000114195,adult,healthy
72808,2016-08-13,900067000114196,adult,healthy
72808,2016-08-13,900067000114202,adult,healthy
72808,2016-08-13,900067000114207,adult,healthy
72808,2016-08-13,900067000114218,adult,healthy
72808,2016-08-13,900067000114223,adult,healthy
72808,2016-08-13,900067000114225,adult,healthy
72808,2016-08-13,900067000114226,adult,healthy
72808,2016-08-13,900067000114229,adult,healthy
72808,2016-08-13,900067000114230,adult,healthy
